City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Lisakovsk,KZ,52.5369,62.4936,41.77,71,100,12.1,overcast clouds
1,Kapaa,US,22.0752,-159.319,80.58,85,20,16.11,few clouds
2,Jamestown,US,42.097,-79.2353,35.19,49,100,11.5,overcast clouds
3,Chake Chake,TZ,-5.2459,39.7666,79.14,73,12,6.08,few clouds
4,Bumba,CD,2.1833,22.4667,70.18,96,98,3.8,light rain
5,Pedasi,PA,7.5333,-80.0333,78.06,84,100,15.46,overcast clouds
6,Bathsheba,BB,13.2167,-59.5167,79.41,73,40,20.71,scattered clouds
7,Nabire,ID,-3.3667,135.4833,84.67,72,38,4.47,scattered clouds
8,Busselton,AU,-33.65,115.3333,63.39,75,74,12.86,light rain
9,Punta Arenas,CL,-53.15,-70.9167,46.51,71,75,13.8,broken clouds
10,Vardo,NO,70.3705,31.1107,34.39,79,26,19.17,scattered clouds
11,Cape Town,ZA,-33.9258,18.4232,62.89,72,0,4.61,clear sky
12,Shima,CN,24.4478,117.8111,80.62,48,2,2.33,clear sky
13,Port Alfred,ZA,-33.5906,26.891,62.19,96,100,8.01,light rain
14,Adrar,MR,20.5022,-10.0711,73.38,8,0,8.84,clear sky
15,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,38,0,8.95,clear sky
16,San Patricio,US,28.017,-97.5169,71.49,61,86,18.84,overcast clouds
17,Iranshahr,IR,27.2025,60.6848,73.74,18,73,4.61,broken clouds
18,Barrow,US,71.2906,-156.7887,-5.78,71,0,5.75,clear sky
19,Fairbanks,US,64.8378,-147.7164,20.3,40,0,6.91,clear sky
20,Vaini,TO,-21.2,-175.2,82.56,78,75,9.22,broken clouds
21,Ushuaia,AR,-54.8,-68.3,46.06,71,75,24.16,broken clouds
22,Zhigansk,RU,66.7697,123.3711,12.87,80,14,16.11,few clouds
23,Albany,US,42.6001,-73.9662,41.52,80,16,5.79,few clouds
24,Vostok,RU,46.4856,135.8833,48.04,64,98,5.66,overcast clouds
25,Bethel,US,41.3712,-73.414,45.54,87,75,3.44,broken clouds
